,Closest Match,Medicine Name,Active Ingredients,Product Number,List of Excipients,Dosage Form,Formulated compound SMILES,Parent compound SMILES,Parent ChEMBL ID
0,RELUGOLIX,Ryeqo,"['RELUGOLIX', 'NORETHISTERONE ACETATE', 'ESTRADIOL HEMIHYDRATE']",EMEA/H/C/005267,"['TITANIUM DIOXIDE', 'MANNITOL', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'HYDROXYPROPYLCELLULOSE', 'SODIUM STARCH GLYCOLATE', 'GLYCEROL TRIACETATE', 'IRON OXIDE']",Tablet,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,CHEMBL1800159
1,ESTRADIOL HEMIHYDRATE,Ryeqo,"['RELUGOLIX', 'NORETHISTERONE ACETATE', 'ESTRADIOL HEMIHYDRATE']",EMEA/H/C/005267,"['TITANIUM DIOXIDE', 'MANNITOL', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'HYDROXYPROPYLCELLULOSE', 'SODIUM STARCH GLYCOLATE', 'GLYCEROL TRIACETATE', 'IRON OXIDE']",Tablet,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O.O,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,CHEMBL135
2,NORETHISTERONE ACETATE,Ryeqo,"['RELUGOLIX', 'NORETHISTERONE ACETATE', 'ESTRADIOL HEMIHYDRATE']",EMEA/H/C/005267,"['TITANIUM DIOXIDE', 'MANNITOL', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'HYDROXYPROPYLCELLULOSE', 'SODIUM STARCH GLYCOLATE', 'GLYCEROL TRIACETATE', 'IRON OXIDE']",Tablet,CC(=O)O[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)C#C,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,CHEMBL1201146
3,TERIFLUNOMIDE,Teriflunomide Mylan,['TERIFLUNOMIDE'],EMEA/H/C/005962,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'HYDROXYPROPYLCELLULOSE', 'SODIUM STARCH GLYCOLATE', 'SILICON DIOXIDE, ANHYDROUS', 'INDIGO CARMINE', 'MAIZE STARCH']",Tablet,C/C(=C(\C#N)/C(=O)NC1=CC=C(C=C1)C(F)(F)F)/O,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,CHEMBL973
4,LEVODOPA,Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),"['LEVODOPA', 'CARBIDOPA', 'ENTACAPONE']",EMEA/H/C/002785,"['TITANIUM DIOXIDE', 'MANNITOL', 'POLYSORBATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'SUCROSE', 'POVIDONE', 'CROSCARMELLOSE SODIUM', 'IRON OXIDE', 'GLYCEROL', 'MAIZE STARCH']",Tablet,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL1009
5,CARBIDOPA,Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),"['LEVODOPA', 'CARBIDOPA', 'ENTACAPONE']",EMEA/H/C/002785,"['TITANIUM DIOXIDE', 'MANNITOL', 'POLYSORBATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'SUCROSE', 'POVIDONE', 'CROSCARMELLOSE SODIUM', 'IRON OXIDE', 'GLYCEROL', 'MAIZE STARCH']",Tablet,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,CHEMBL1201236
6,ENTACAPONE,Corbilta (previously Levodopa/Carbidopa/Entacapone Sandoz),"['LEVODOPA', 'CARBIDOPA', 'ENTACAPONE']",EMEA/H/C/002785,"['TITANIUM DIOXIDE', 'MANNITOL', 'POLYSORBATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'SUCROSE', 'POVIDONE', 'CROSCARMELLOSE SODIUM', 'IRON OXIDE', 'GLYCEROL', 'MAIZE STARCH']",Tablet,CCN(CC)C(=O)/C(=C/C1=CC(=C(C(=C1)O)O)[N+](=O)[O-])/C#N,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1,CHEMBL953
7,PREGABALIN,Pregabalin Mylan,['PREGABALIN'],EMEA/H/C/004078,"['MAIZE STARCH', 'TITANIUM DIOXIDE', 'GELATIN', 'WATER', 'SHELLAC', 'ERYTHROSINE', 'PRINTING INK', 'AMMONIA', 'HYDROXYPROPYLCELLULOSE', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SODIUM LAURIL SULFATE', 'TALC', 'POTASSIUM HYDROXIDE']",Hard Capsule,CC(C)C[C@@H](CC(=O)O)CN,CC(C)C[C@H](CN)CC(=O)O,CHEMBL1059
8,CABOTEGRAVIR SODIUM,Vocabria,"['CABOTEGAVIR SODIUM', 'CABOTEGRAVIR']",EMEA/H/C/004976,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'SODIUM STARCH GLYCOLATE']",Tablet,C[C@H]1CO[C@H]2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)[O-].[Na+],C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,CHEMBL2403238
9,FESOTERODINE FUMARATE,Toviaz,['FESOTERODINE FUMARATE'],EMEA/H/C/000723,"['XYLITOL', 'GLYCEROL DIBEHENATE', 'TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'LECITHIN', 'HYPROMELLOSE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'INDIGO CARMINE', 'TALC']",Prolonged-Release Tablet,CC(C)C(=O)OC1=C(C=C(C=C1)CO)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(=C/C(=O)O)\C(=O)O,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,CHEMBL1201764
10,DEFERASIROX,Exjade,['DEFERASIROX'],EMEA/H/C/000670,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'POLOXAMER', 'SILICON DIOXIDE, ANHYDROUS', 'INDIGO CARMINE', 'TALC', 'CROSPOVIDONE']",Tablet,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,CHEMBL550348
11,DEFERASIROX,Exjade,['DEFERASIROX'],EMEA/H/C/000670,"['MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', 'POVIDONE', 'POLOXAMER', 'SILICON DIOXIDE, ANHYDROUS', 'CROSPOVIDONE']",Granules,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,CHEMBL550348
12,TACROLIMUS MONOHYDRATE,Tacforius,['TACROLIMUS MONOHYDRATE'],EMEA/H/C/004435,"['TITANIUM DIOXIDE', 'GELATIN', 'PONCEAU 4R', 'LACTOSE MONOHYDRATE', 'SHELLAC', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'PRINTING INK', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'ETHYLCELLULOSE', 'POTASSIUM HYDROXIDE']",Prolonged-Release Hard Capsule,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC.O,C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CHEMBL4303795
13,PREGABALIN,Pregabalin Accord,['PREGABALIN'],EMEA/H/C/004024,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'GELATIN', 'SHELLAC', 'PRINTING INK', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SODIUM LAURIL SULFATE', 'TALC', 'POTASSIUM HYDROXIDE']",Hard Capsule,CC(C)C[C@@H](CC(=O)O)CN,CC(C)C[C@H](CN)CC(=O)O,CHEMBL1059
14,TENOFOVIR DISOPROXIL FUMARATE,Viread,['TENOFOVIR DISOPROXIL FUMARATE'],EMEA/H/C/000419,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'GLYCEROL TRIACETATE', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,CHEMBL1538
15,TENOFOVIR DISOPROXIL FUMARATE,Viread,['TENOFOVIR DISOPROXIL FUMARATE'],EMEA/H/C/000419,"['HYDROXYPROPYLCELLULOSE', 'SILICON DIOXIDE, ANHYDROUS', 'ETHYLCELLULOSE', 'MANNITOL']",Granules,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,CHEMBL1538
